"","DONOR","RECIPIENT","SECTOR","MEASURE","CHANNEL","MODALITY","FLOW_TYPE","PRICE_BASE","MD_DIM","MD_ID","UNIT_MEASURE","BASE_PER","UNIT_MULT","obsTime","obsValue","OBS_STATUS","DECIMALS"
"71","9OTH012","ERI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.433725,"A","3"
"72","9OTH012","SWZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.51812,"A","3"
"73","9OTH012","ETH","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",23.145181,"A","3"
"74","9OTH012","FJI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.22583,"A","3"
"75","9OTH012","GMB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.374574,"A","3"
"76","9OTH012","GEO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",3.26923,"A","3"
"77","9OTH012","GHA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",17.886351,"A","3"
"78","9OTH012","GTM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",0.214151,"A","3"
"79","9OTH012","GNB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",0.91568,"A","3"
"80","9OTH012","HTI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",5.448717,"A","3"
"81","9OTH012","HND","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.06337,"A","3"
"82","9OTH012","IND","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",15.739568,"A","3"
"83","9OTH012","IDN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",13.658189,"A","3"
"84","9OTH012","IRN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.616228,"A","3"
"85","9OTH012","IRQ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.763919,"A","3"
"86","9OTH012","JOR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",0.520081,"A","3"
"87","9OTH012","KAZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",10.57779,"A","3"
"88","9OTH012","KEN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",12.070518,"A","3"
"89","9OTH012","XKV","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.439981,"A","3"
"90","9OTH012","KGZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",6.219872,"A","3"
"91","9OTH012","LAO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",3.073013,"A","3"
"92","9OTH012","LSO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",3.20488,"A","3"
"93","9OTH012","LBR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",4.629036,"A","3"
"94","9OTH012","MDG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",0.450456,"A","3"
"95","9OTH012","MWI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.799712,"A","3"
"96","9OTH012","MDA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",5.899173,"A","3"
"97","9OTH012","MNG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",3.351515,"A","3"
"98","9OTH012","MAR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.166753,"A","3"
"99","9OTH012","MOZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.173157,"A","3"
