state,year,forecast_notifications,dr_cases_est
Uttar Pradesh,2027,776288.8571428657,39998.56746896344
Uttarakhand,2027,34068.51190476213,1755.3925442202071
West Bengal,2027,82324.21428571269,4241.78526992624
Andaman and Nicobar Islands,2028,606.5357142856956,33.67914972853931
Andhra Pradesh,2028,82675.49999999919,4590.728093663869
Arunachal Pradesh,2028,2395.3928571428114,133.00914157939627
Assam,2028,53017.82142857229,2943.9241649219357
Bihar,2028,254089.00000000745,14108.817129512423
Chandigarh,2028,3071.714285714319,170.5632873963569
Chhattisgarh,2028,33118.17857142817,1838.9553468540685
Dadra and Nagar Haveli and Daman and Diu,2028,507.6428571427823,28.187919345310128
Delhi,2028,101398.35714285495,5630.353451591719
Goa,2028,1731.3928571427969,96.1391685620827
Gujarat,2028,119870.82142856903,6656.07522836514
Haryana,2028,100639.5,5588.216339572055
Himachal Pradesh,2028,14487.857142857101,804.4682258069622
Jammu and Kashmir,2028,11190.607142856927,621.3816015127741
Jharkhand,2028,72474.07142857183,4024.27267775036
Karnataka,2028,67403.6785714277,3742.728629813494
Kerala,2028,18229.35714285681,1012.2227499700116
Ladakh,2028,,
Lakshadweep,2028,0.0,0.0
Madhya Pradesh,2028,203267.67857143097,11286.858169006713
Maharashtra,2028,223087.07142857183,12387.370939883678
Manipur,2028,2017.25,112.01197751381642
Meghalaya,2028,4509.535714285646,250.40129534084312
Mizoram,2028,1762.1785714285215,97.84860900641007
Nagaland,2028,4374.321428571333,242.89324253084024
Odisha,2028,62932.53571428638,3494.4591772542303
Puducherry,2028,1313.0,72.9070400176681
Punjab,2028,66757.14285714272,3706.8283973731077
Rajasthan,2028,201580.14285714738,11193.154258989563
Sikkim,2028,1250.0714285714002,69.41280096557395
Tamil Nadu,2028,103896.67857143003,5769.0779149353
Telangana,2028,74767.4285714284,4151.616075304853
Tripura,2028,2674.499999999942,148.50714282349512
Uttar Pradesh,2028,822500.3928571492,45671.03507736779
Uttarakhand,2028,35890.82142857183,1992.9120747599893
West Bengal,2028,79063.03571428359,4390.138544356128
Andaman and Nicobar Islands,2029,621.273809523791,36.94255906256524
Andhra Pradesh,2029,82303.08333333232,4893.955725259695
Arunachal Pradesh,2029,2328.5952380951785,138.46433858539322
Assam,2029,54221.047619048506,3224.124731149087
Bihar,2029,269567.08333334327,16029.160966883039
Chandigarh,2029,2786.3928571428405,165.686177525189
Chhattisgarh,2029,32463.535714285215,1930.3663974245676
Dadra and Nagar Haveli and Daman and Diu,2029,421.26190476183547,25.04933019694095
Delhi,2029,102394.90476190229,6088.667764333727
Goa,2029,1690.0119047618355,100.49251014775261
Gujarat,2029,116589.96428571176,6932.74298015027
Haryana,2029,104912.33333333395,6238.360624808866
Himachal Pradesh,2029,14339.154761904734,852.6434940255501
Jammu and Kashmir,2029,11125.571428571187,661.5554580029989
