IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,DISAGGR_1,DISAGGR_2,UNIT,VALUE,VALUE_LO,VALUE_HI
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Male,5-14 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Male,15-24 years,Number,21.28696653,8.510049742,34.06388331
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Male,25-34 years,Number,42.18682768,24.19987417,60.17378119
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Male,35-44 years,Number,41.51343052,23.67061072,59.35625031
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Male,45-54 years,Number,50.53690777,30.85018117,70.22363437
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Male,55-64 years,Number,73.14629031,49.46172981,96.83085082
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Male,65 years and older,Number,110.0775436,81.02269995,139.1323872
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Female,0-4 years,Number,1.650209632,0,7.11489888
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Female,5-14 years,Number,5.014013457,0,12.40200554
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Female,15-24 years,Number,18.14012657,6.345360439,29.93489271
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Female,25-34 years,Number,19.69197016,7.403048887,31.98089144
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Female,35-44 years,Number,22.22953396,9.172805971,35.28626195
